Cluster,Companies,Returns,Volatility
0,JPM,0.1439136151514863,0.2872242519607177
0,AXP,0.1370524557100195,0.2828443307903181
0,INTC,0.15607941241341364,0.2822091470620762
0,CAT,0.1606481562644835,0.2911658656808683
1,WMT,0.13067847281536774,0.19050125094633
1,MCD,0.16555284642170615,0.19218798492999095
2,NKE,0.25248889402474556,0.2599138974228874
2,V,0.25765116952609174,0.25764664716147356
2,UNH,0.264092743199824,0.26077377718812417
3,CVX,0.06817069622200109,0.267231034426961
3,WBA,0.058883686818843047,0.27589508312709454
4,CRM,0.30712132696781225,0.362900531190931
5,HON,0.1893620195297145,0.2358194105181435
5,AMGN,0.18897821298580164,0.2481175303043033
5,DIS,0.1687635919537435,0.24231147213761675
6,BA,0.18829946745209725,0.34952510602854403
7,VZ,0.12336248581636892,0.1766785021283828
7,PG,0.12199149226559848,0.17210450938277325
7,JNJ,0.12123257721522168,0.16941998151965829
7,KO,0.10368923170501913,0.17466371415316076
8,AAPL,0.3066677829367304,0.2814534522046791
9,HD,0.25942129412814063,0.23048596766896384
10,MRK,0.1313342507552192,0.20744080465956316
10,TRV,0.12133388696783014,0.22157543716801714
10,MMM,0.11167092724782363,0.21638446976531356
11,IBM,0.04974524320164026,0.22163396552420325
12,CSCO,0.10819041078136189,0.27166012756530117
13,MSFT,0.2338711967829636,0.2536754667690071
14,GS,0.0722153925873019,0.29392359488880865
